Date,^BVSP,Variação_Diária_%
2021-06-02,129601.0,1.0400180872710774
2021-06-04,130126.0,0.4050894669022531
2021-06-07,130776.0,0.4995158538647182
2021-06-08,129787.0,-0.7562549703309496
2021-06-09,129907.0,0.09245918312312806
2021-06-10,130076.0,0.13009306657840725
2021-06-11,129441.0,-0.488176143177832
2021-06-14,130208.0,0.5925479562117086
2021-06-15,130091.0,-0.08985623003194831
2021-06-16,129259.0,-0.6395523133806313
2021-06-17,128057.0,-0.929915905275458
2021-06-18,128405.0,0.27175398455374644
2021-06-21,129265.0,0.6697558506288726
2021-06-22,128767.0,-0.3852550961203738
2021-06-23,128428.0,-0.2632662095102045
2021-06-24,129514.0,0.8456099915906234
2021-06-25,127256.0,-1.7434408635359833
2021-06-28,127429.0,0.1359464386748055
2021-06-29,127327.0,-0.0800445738411204
2021-06-30,126802.0,-0.4123241731918581
2021-07-01,125666.0,-0.8958849229507404
2021-07-02,127622.0,1.5565069310712554
2021-07-05,126920.0,-0.5500619015530228
2021-07-06,125095.0,-1.437913646391431
2021-07-07,127019.0,1.5380310963667654
2021-07-08,125428.0,-1.25256851337201
2021-07-12,127594.0,1.7268871384379825
2021-07-13,128168.0,0.4498644136871732
2021-07-14,128407.0,0.18647400287123972
2021-07-15,127468.0,-0.7312685445497569
2021-07-16,125960.0,-1.1830420183889245
2021-07-19,124395.0,-1.2424579231502086
2021-07-20,125401.0,0.8087141766148109
2021-07-21,125929.0,0.4210492739292304
2021-07-22,126147.0,0.17311342105472693
2021-07-23,125053.0,-0.8672421857039758
2021-07-26,126004.0,0.7604775575156042
2021-07-27,124612.0,-1.1047268340687588
2021-07-28,126286.0,1.3433698199210253
2021-07-29,125675.0,-0.4838224347908704
2021-07-30,121801.0,-3.0825542072806855
2021-08-02,122516.0,0.5870230950484778
2021-08-03,123577.0,0.8660093375559175
2021-08-04,121801.0,-1.4371606366880618
2021-08-05,121633.0,-0.13792990205334643
2021-08-06,122810.0,0.9676650251165375
2021-08-09,123019.0,0.1701815813044627
2021-08-10,122202.0,-0.6641250538534704
2021-08-11,122056.0,-0.11947431302270495
2021-08-12,120701.0,-1.110146162417247
2021-08-13,121194.0,0.4084473202376149
2021-08-16,119180.0,-1.661798438866613
2021-08-17,117904.0,-1.070649437825133
2021-08-18,116643.0,-1.0695141810286302
2021-08-19,117165.0,0.44751935392608466
2021-08-20,118053.0,0.7579055178594363
2021-08-23,117472.0,-0.49215183011021013
2021-08-24,120211.0,2.331619449741207
2021-08-25,120818.0,0.504945470880358
2021-08-26,118724.0,-1.7331854524987977
2021-08-27,120678.0,1.6458340352413892
2021-08-30,119740.0,-0.7772750625631875
2021-08-31,118781.0,-0.8009019542341789
2021-09-01,119396.0,0.5177595743427021
2021-09-02,116677.0,-2.2772957217997214
2021-09-03,116933.0,0.21940913804776585
2021-09-06,117869.0,0.8004583821504596
2021-09-08,113413.0,-3.7804681468409873
2021-09-09,115361.0,1.7176161462971518
2021-09-10,114286.0,-0.9318573868118296
2021-09-13,116404.0,1.85324536688658
2021-09-14,116181.0,-0.19157417270884158
2021-09-15,115063.0,-0.9622915967326895
2021-09-16,113794.0,-1.1028740776791834
2021-09-17,111439.0,-2.069529149164284
2021-09-20,108844.0,-2.3286282181283036
2021-09-21,110250.0,1.2917570100327014
2021-09-22,112282.0,1.8430839002267607
2021-09-23,114064.0,1.587075399440696
2021-09-24,113283.0,-0.6847033244494316
2021-09-27,113583.0,0.2648234951404982
2021-09-28,110124.0,-3.045350096405275
2021-09-29,111107.0,0.8926301260397285
2021-09-30,110979.0,-0.11520426255771099
2021-10-01,112900.0,1.730958109191838
2021-10-04,110393.0,-2.2205491585473913
2021-10-05,110458.0,0.05888054496208106
2021-10-06,110560.0,0.09234279092504849
2021-10-07,110585.0,0.022612156295220842
2021-10-08,112833.0,2.032825428403484
2021-10-11,112180.0,-0.5787313995019194
2021-10-13,113456.0,1.137457657336416
2021-10-14,113185.0,-0.23885911719080388
2021-10-15,114648.0,1.2925741043424477
2021-10-18,114428.0,-0.19189170330053962
2021-10-19,110673.0,-3.281539483343243
2021-10-20,110786.0,0.10210259051439685
2021-10-21,107735.0,-2.7539580813460196
2021-10-22,106296.0,-1.3356847821042406
2021-10-25,108715.0,2.2757206291864174
2021-10-26,106420.0,-2.111024237685688
2021-10-27,106363.0,-0.05356136064649242
2021-10-28,105705.0,-0.6186361798745765
2021-10-29,103501.0,-2.0850480109739333
2021-11-01,105551.0,1.9806571917179605
2021-11-03,105617.0,0.0625290144101065
2021-11-04,103412.0,-2.0877320885842265
2021-11-05,104824.0,1.3654121378563477
2021-11-08,104781.0,-0.04102114019690628
2021-11-09,105535.0,0.7195961099817794
2021-11-10,105968.0,0.4102904249774886
2021-11-11,107725.0,1.6580477125169857
2021-11-12,106312.0,-1.3116732420515254
2021-11-16,104508.0,-1.6968921664534564
2021-11-17,102945.0,-1.4955792857963002
2021-11-18,102524.0,-0.4089562387682766
2021-11-19,103035.0,0.4984198821739394
2021-11-22,102122.0,-0.8861066627844916
2021-11-23,103663.0,1.5089794559448588
2021-11-24,104514.0,0.820929357630007
2021-11-25,105811.0,1.2409820693878304
2021-11-26,102224.0,-3.390006710077398
2021-11-29,102814.0,0.5771638754108688
2021-11-30,101915.0,-0.8743945377088669
